name,desc,img,type,mag,size,dist,const,catalog
M97,"Messier 97 (M97), also known as the Owl Nebula, is a famous planetary nebula located in Ursa Major constellation.  The nebula lies at a distance of 2,030 light years from Earth and has an apparent magnitude of 9.9. It has the designation NGC 3587 in the New General Catalogue.  Messier 97 occupies an area 3.4 by 3.3 arc minutes in apparent size, which corresponds to a spatial diameter of 1.82 light years. It was named the Owl Nebula because of its appearance in larger telescopes, which reveal two dark patches that look like the eyes of an owl. These were first sketched by William Parsons, 3rd Earl of Rosse in 1848. The Owl Nebula can be seen in 20×80 binoculars and small telescopes, but only under exceptionally good conditions, and it only appears as a faint ball of light. The owl-like eyes can be seen in 10-inch and larger telescopes.",M97,Planetary Nebula,12,3.23,2600,Ursa Major,NGC 3587
M98,"This image of M98 was taken in 1995 with Hubble’s Wide Field and Planetary Camera 2. Its stair-step pattern results from the design of the camera. These observations were taken in infrared and visible light and feature a portion of the galaxy near the central core. Although it is a member of the Virgo cluster of galaxies, M98 appears in the neighboring constellation of Coma Berenices. Hubble’s observations of M98 were part of an examination of the cores of galaxies in the Virgo cluster.  M98 contains about a trillion stars as well as an abundance of neutral hydrogen gas and interstellar dust. Because of the high amounts of gas and dust, there are numerous star-forming regions in the galaxy, especially in its nucleus and arms. The nucleus itself is “active,” meaning that the center of the galaxy is more luminous than the rest of the galaxy. M98 is located approximately 44 million light-years away and is traveling toward our Milky Way galaxy.  M98 was discovered in 1781 by Pierre Méchain, a colleague of Charles Messier, and is one of the faintest objects in Messier’s catalog. It has a magnitude of 10.1, and observers will need at least a medium-sized telescope to see M98 well. The best time to observe this galaxy is in May.",M98,Galaxy,10.9,9.4,54100000,Coma Berenices,NGC 4192
M99,"M99 is called a grand-design spiral, with long, large and clearly defined spiral arms — giving it a structure somewhat similar to our home galaxy, the Milky Way.  M99 was discovered by the French astronomer Pierre Méchain in 1781. The galaxy is located 55 million light-years from Earth in the constellation Coma Berenices and has an apparent magnitude of 10.4. It can be seen using a moderately sized telescope most easily in May.  A number of unexplained phenomena in M99 have been studied by astronomers. Among these is the nature of PTF 10fqs. What is unusual about PTF 10fqs is that it has so far defied classification. When it was discovered in April 2010, it appeared brighter than a nova (caused by an eruption on a star’s surface) but fainter than a supernova (the explosion that marks the end of life for a large star). Scientists have offered a number of possible explanations, including the intriguing suggestion that the star’s increased brightness could have been caused by a giant planet plunging into its parent star.",M96,Galaxy,10.4,5.3,50200000,Coma Berenices,NGC 4254
M100,"M100 is a stunning example of a grand-design spiral galaxy. M100’s characteristic arms also host several small black holes, including the youngest one ever observed in our cosmic neighborhood.  The galaxy was discovered in 1781 by the French astronomer Pierre Méchain, Charles Messier’s fellow comet hunter who discovered eight comets in his lifetime. M100 is located 56 million light-years away from Earth and appears dim in the night sky. Its apparent magnitude of 10.1 means that, while it can be seen through small telescopes, it will appear only as a faint patch of light. Larger telescopes can resolve more details of this galaxy. M100 is located in the constellation Coma Berenices and is best observed during May.",M96,Galaxy,10.1,7.5,55000000,Coma Berenices,NGC 4321
M101,"M101 is also known as the Pinwheel galaxy. The giant spiral disk of stars, dust and gas is 170,000 light-years across — nearly twice the diameter of our galaxy, the Milky Way. M101 is estimated to contain at least one trillion stars. The galaxy’s spiral arms are sprinkled with large regions of star-forming nebulas. These nebulas are areas of intense star formation within giant molecular hydrogen clouds. Brilliant, young clusters of hot, blue, newborn stars trace out the spiral arms.  Pierre Méchain, one of Charles Messier’s colleagues, discovered the Pinwheel galaxy in 1781. Located 25 million light-years away from Earth in the constellation Ursa Major, M101 has an apparent magnitude of 7.9. It can be spotted through a small telescope and is most easily observed during April.  ",M96,Galaxy,8.2,28.5,20900000,Ursa Major,NGC 5457
M102,"Hubble’s sharp vision reveals a crisp dust lane dividing M102, also known as the Spindle galaxy, into two halves. This edge-on view of M102 highlights the galaxy’s structure: a subtle, reddish bulge surrounding a bright nucleus, a blue disk of stars running parallel to the dust lane, and a transparent outer halo.  M102’s dust lane is slightly warped compared to the disk of starlight. This warp indicates that the galaxy might have experienced gravitational tidal disturbances in the distant past. These disturbances were likely caused by an interaction with a nearby galaxy, as M102 is the largest member of a small cluster of galaxies.  Some faint, wispy trails of dust can be seen meandering away from the disk out into the bulge and inner halo of the galaxy. The outer halo is dotted with numerous globular star clusters, gravitationally bound clusters of nearly a million stars each. Background galaxies that are millions to billions of light-years farther away than M102 are also seen through its halo.  Pierre Méchain, a French astronomer and colleague of Charles Messier, discovered the Spindle galaxy in 1781 — the same year that he discovered the first two of his eight comets. M102 is located 44 million light-years from Earth in the constellation Draco and has an apparent magnitude of 10.7. It can be observed using a small telescope and is most easily spotted during July.",M104,Galaxy,10.7,4.7,50000000,Draco,NGC 5866
M103,"Messier 103 (M103) is an open star cluster located in the northern constellation Cassiopeia. The cluster lies at a distance of 10,000 light years from Earth and has an apparent magnitude of 7.4. Its designation in the New General Catalogue is NGC 581.  M103 occupies an area 6 arc minutes in apparent size, corresponding to a linear diameter of 17.5 light years. It is easy to see, even with binoculars, and appears as a nebulous fan-shaped patch.       4-inch telescopes resolve the four brightest stars in the cluster. Large telescopes resolve more stars across the cluster, but make it harder to make out M103 from the surrounding star field because the cluster is quite loose.  Messier 103 is easy to find because it lies within Cassiopeia‘s familiar W shape.",M35,Open Cluster,7.4,6,10000,Cassiopeia,NGC 581
M104,"This stunning Hubble image of M104, also known as the Sombrero galaxy, is one of the largest mosaics ever assembled from Hubble observations. The hallmark of the nearly edge-on galaxy is a brilliant, white, bulbous core encircled by thick dust lanes comprising the spiral structure of the galaxy. This dust lane is the site of star formation in the galaxy. The center of M104 is thought to be home to a massive black hole.  Hubble easily resolves the Sombrero galaxy’s rich system of globular clusters, estimated to be nearly 2,000 in number — 10 times more than the number of globular clusters in our Milky Way galaxy. The ages of the clusters are similar to those in the Milky Way, ranging from 10-13 billion years old. Embedded in the bright core of M104 is a smaller disk (not visible in the image), which is tilted relative to the large disk. X-ray emission suggests that there is material falling into the compact core, where a one-billion-solar-mass black hole resides.  With an apparent magnitude of 8, the Sombrero galaxy is beyond the limit of naked-eye visibility but can be spotted through small telescopes most easily during May. M104 is located 28 million light-years away in the constellation Virgo, and with a mass equal to 800 billion suns, it is one of the most massive objects in the Virgo galaxy cluster.   M104 was discovered in 1781 by the French astronomer and comet hunter Pierre Méchain, one of Charles Messier’s colleagues.",M104,Galaxy,9.2,8.6,29300000,Virgo,NGC 4594
M105,"M105 is an elliptical galaxy 32 million light-years away in the constellation Leo. It is the largest elliptical in the Messier catalog that is not a member of the Virgo cluster of galaxies. M105 does, however, belong to the M96 (or Leo I) Group, which includes neighbors M95 and M96 as well as several other fainter galaxies. Charles Messier’s colleague Pierre Méchain discovered M105 in 1781 just a few days after locating M95 and M96. Yet M105 was not originally included in Messier’s catalog. It was added in 1947 after astronomer Helen S. Hogg found a letter written by Méchain describing the galaxy.  This Hubble image of M105 was taken in near-infrared and visible light. Like most elliptical galaxies it appears rather featureless and inactive. However, Hubble observations surprised astronomers by revealing young stars and star clusters in M105, indicating that star formation is still taking place in what was thought to be a “dead” galaxy no longer capable of giving birth to new stars. Other Hubble observations measured the speeds of stars moving around the center of the galaxy, which demonstrated that a supermassive black hole resides at M105’s core.  Best observed in April, M105 has an apparent magnitude of 10.2 and can be spotted with a small telescope. Large telescopes will uncover two fainter galaxies (NGC 3384 and NGC 3389) close to the bright elliptical.",M105,Galaxy,10.5,5.3,32000000,Leo,NGC 3379
M106,"This magnificent view of the spiral galaxy M106 was assembled from Hubble exposures and ground-based images taken by the amateur astronomer Robert Gendler. Gendler’s ground-based images were used to fill in pieces of the galaxy that Hubble did not observe. The center of the galaxy is composed almost entirely of Hubble observations. The outer spiral arms are also predominantly Hubble data, but were colorized with ground-based images taken by Gendler and fellow amateur astronomer Jay GaBany.  The image reveals one of the most striking features of M106: its extra pair of arms. Most spiral galaxies only have one pair of arms, but M106 has an extra set, seen here as red wisps of gas. Unlike the other arms, these two extra arms are made up of hot gas rather than stars. Astronomers attribute these ghostly arms to the supermassive black hole at the galaxy’s center. The extra arms appear to be an indirect result of the violent churning of matter around the black hole.  M106 was discovered by Charles Messier’s observing assistant, Pierre Méchain, in 1781. It is located 24 million light-years from Earth in the constellation Canes Venatici. Although a larger telescope is needed to resolve detail, M106 has a relatively bright apparent magnitude of 9.1 and can be spotted with a small telescope. It is best observed during May.",M106,Galaxy,9.1,17.4,23700000,Canes Venatici,NGC 4258
M107,"M107 is one of approximately 150 globular star clusters found around the disk of the Milky Way galaxy. These spherical collections each contain hundreds of thousands of extremely old stars and are among the oldest objects in the Milky Way. The origin of globular clusters and their impact on galactic evolution remain somewhat unclear, so astronomers continue to study them through pictures such as this one, obtained by Hubble using visible and infrared observations.  Discovered in 1782 by Pierre Méchain, a French astronomer and colleague of Charles Messier, M107 was the last Messier object to be found. M104 through M109 were all discovered by Méchain and were considered “Méchain objects” until 1947, when they were added to the Messier catalog.  M107 is located 20,000 light-years from Earth in the constellation Ophiuchus. It has an apparent magnitude of 8.9 and can be spotted through a small telescope most easily during July.",M5,Globular Cluster,7.9,3.3,20900,Ophiuchus,NGC 6171
M108,"M108, or the Surfboard galaxy, is located in the constellation Ursa Major approximately 46 million light-years away. It is called the Surfboard galaxy because, when viewed with a telescope, it is seen nearly edge-on with no apparent bulge or pronounced core.  M108 was discovered by Pierre Méchain in 1781 three days after he discovered M97. Charles Messier’s notes state that he observed the galaxy in 1781 but never took an accurate position of it or officially added it to his catalog. M108 was finally added to Messier’s catalog in 1953 by astronomer Owen Gingerich.  There is little evidence of a well-defined spiral pattern in the galaxy, but M108 is classified as a barred spiral galaxy with loosely wound spiral arms. Observations show young star clusters exposed against a mottled and detail-rich background. M108 also contains supershells, which are shells of gas driven by bursts of star formation and resulting supernova explosions. The supershells could also be driven by stellar jets or an infall of gas from outside the galaxy.  At the center of M108 is a supermassive black hole estimated to be 24 million times as massive as the Sun. The Chandra X-ray Observatory discovered multiple X-ray sources in M108, with the brightest X-ray source suspected to be an intermediately sized black hole that is actively accreting material.  M108 is one of the largest and brightest members of the Ursa Major cluster, as well as part of the Virgo supercluster of galaxies. It has a magnitude of 10 and is located just under the bowl of the Big Dipper. M108 can be seen with small telescopes as an elliptical streak of light with a brighter core, while telescopes 8 inches or larger will reveal more detail. The best time to observe M108 is in April, but it can be seen throughout the year for those in the Northern Hemisphere.  This Hubble image was taken using the Wide Field and Planetary Camera 2 and features only a portion of the galaxy. Its stair-step appearance results from the design of the camera, and because Hubble’s observations were taken in only one filter, it is in black and white. The observations were taken to help astronomers understand various features in the nuclei of nearby disk galaxies.",M108,Galaxy,10.6,8.6,14100000,Ursa Major,NGC 3556
M109,"Messier 109 (M109) is a barred spiral galaxy located in the constellation Ursa Major.  The galaxy lies at a distance of 83.5 million light years and has an apparent magnitude of 10.6. It has the designation NGC 3992 in the New General Catalogue.  Messier 109 occupies an area of 7.6 by 4.7 arc minutes of apparent sky, corresponding to a linear diameter of 180,000 light years. The galaxy can be seen in large binoculars in exceptionally good conditions. Messier 109 contains an estimated 1 trillion stars. It is the brightest member of the M109 Group, a group of 79 galaxies in Ursa Major. It has three known satellite galaxies: UGC 6923, UGC 6940 and UGC 6969.",M109,Galaxy,10.6,7.5,83500000,Ursa Major,NGC 3992
M110,"Located in the constellation Andromeda, M110 was discovered in 1773 by Charles Messier. It is a satellite galaxy of the Andromeda galaxy (M31) and a member of the Local Group, which is made up of the galaxies located closest to the Milky Way (our Milky Way is considered a member of the Local Group as well). M110 is approximately 2,690,000 light-years away from Earth and has a magnitude of 8.  M110 is an elliptical galaxy, which means that it has a smooth and nearly featureless structure. Elliptical galaxies do not have arms or regions of star formation. They are oftentimes considered “dead” compared to spiral galaxies, and the stars in elliptical galaxies are often older than those in other galaxies. However, there is evidence that a population of young blue stars exists at the center of M110. This small elliptical galaxy has approximately 10 billion stars, as well as at least eight globular clusters (the brightest of which can be seen with large telescopes). With a telescope, M110 is fairly easy to spot near the core of the much larger and brighter Andromeda galaxy. Smaller telescopes will only reveal a faint, diffuse patch of light, while larger telescopes will unveil an oval shape with a brighter core. The best time to view M110 is during November.",M105,Galaxy,8.9,19.5,26900000,Andromeda,NGC 205
